Symbol,Name,High,Low,Close,Volume,URL
ELEF,Silver Elephant Mining Corp,1.62,1.4,1.61,70001,http://eoddata.com//stockquote/TSX/ELEF.htm
ELF,E-L Financial,930.0,930.0,930.0,100,http://eoddata.com//stockquote/TSX/ELF.htm
ELF.PR.F,E-L Financial Corp Ltd Pr Ser. 1,25.42,25.28,25.41,800,http://eoddata.com//stockquote/TSX/ELF.PR.F.htm
ELF.PR.G,E- L Financial Corp Ltd,24.16,24.16,24.16,200,http://eoddata.com//stockquote/TSX/ELF.PR.G.htm
ELF.PR.H,E - L Financial Corp Ltd Pref Ser 3,25.67,25.67,25.67,364,http://eoddata.com//stockquote/TSX/ELF.PR.H.htm
ELR,Eastern Platinum Ltd,0.28,0.28,0.28,56100,http://eoddata.com//stockquote/TSX/ELR.htm
ELV,Powershares S&P Emg Mkts Low Vol ETF,20.41,20.41,20.41,1650,http://eoddata.com//stockquote/TSX/ELV.htm
EMA,Emera Incorporated,58.93,58.42,58.69,454166,http://eoddata.com//stockquote/TSX/EMA.htm
EMA.PR.A,Emera Inc Series A Pref,17.86,17.69,17.69,7700,http://eoddata.com//stockquote/TSX/EMA.PR.A.htm
EMA.PR.B,Emera Inc Pref Sh Series B,18.1,18.1,18.1,400,http://eoddata.com//stockquote/TSX/EMA.PR.B.htm
EMA.PR.C,Emera Inc Pref Sh Series C,23.99,23.66,23.69,1600,http://eoddata.com//stockquote/TSX/EMA.PR.C.htm
EMA.PR.E,Emera Inc Pref Ser E,23.45,23.07,23.15,1704,http://eoddata.com//stockquote/TSX/EMA.PR.E.htm
EMA.PR.F,Emera Inc Series F Pref,23.59,23.59,23.59,200,http://eoddata.com//stockquote/TSX/EMA.PR.F.htm
EMA.PR.H,Emera Inc Pref Series H,25.56,25.36,25.36,1300,http://eoddata.com//stockquote/TSX/EMA.PR.H.htm
EMA.PR.J,Emera Inc,25.39,25.3,25.39,2222,http://eoddata.com//stockquote/TSX/EMA.PR.J.htm
EMA.PR.L,Emera Inc.,24.38,24.05,24.05,3231,http://eoddata.com//stockquote/TSX/EMA.PR.L.htm
EMP.A,Empire Company Ltd,39.4,38.99,39.09,198306,http://eoddata.com//stockquote/TSX/EMP.A.htm
EMV.B,CI Wisdomtree Emerging Mkt Divd Index,29.8,29.79,29.79,1603,http://eoddata.com//stockquote/TSX/EMV.B.htm
ENB,Enbridge Inc,53.03,52.56,52.91,6076677,http://eoddata.com//stockquote/TSX/ENB.htm
ENB.PF.A,Enbridge Inc Pref Ser 9,19.6,19.45,19.57,2815,http://eoddata.com//stockquote/TSX/ENB.PF.A.htm
ENB.PF.C,Enbridge Inc Pref Ser 11,19.48,19.25,19.44,4200,http://eoddata.com//stockquote/TSX/ENB.PF.C.htm
ENB.PF.E,Enbridge Inc Pref Ser 13,18.55,18.52,18.52,28400,http://eoddata.com//stockquote/TSX/ENB.PF.E.htm
ENB.PF.G,Enbridge Inc Pref Ser 15,18.5,18.45,18.5,2800,http://eoddata.com//stockquote/TSX/ENB.PF.G.htm
ENB.PF.I,Enbridge Inc Pref Ser 17,24.98,24.98,24.98,1817,http://eoddata.com//stockquote/TSX/ENB.PF.I.htm
ENB.PF.K,Enbridge Inc Pref Series 19,25.05,24.95,24.97,24061,http://eoddata.com//stockquote/TSX/ENB.PF.K.htm
ENB.PF.U,Enbridge Inc Pref Ser L,21.78,21.7,21.7,14800,http://eoddata.com//stockquote/TSX/ENB.PF.U.htm
ENB.PF.V,Enbridge Inc Pref Ser 5 USD,21.25,21.17,21.17,800,http://eoddata.com//stockquote/TSX/ENB.PF.V.htm
ENB.PR.A,Enbridge Pr,25.05,25.0,25.0,3221,http://eoddata.com//stockquote/TSX/ENB.PR.A.htm
ENB.PR.B,Enbridge Inc Cum Redeem Pref Ser B,19.0,18.9,18.93,9200,http://eoddata.com//stockquote/TSX/ENB.PR.B.htm
ENB.PR.C,Enbridge Inc Pref Ser C,18.55,18.55,18.55,200,http://eoddata.com//stockquote/TSX/ENB.PR.C.htm
ENB.PR.D,Enbridge Inc Pref Ser D,19.05,18.8,18.8,5727,http://eoddata.com//stockquote/TSX/ENB.PR.D.htm
ENB.PR.F,Enbridge Inc Pref Ser F,19.68,19.51,19.55,1200,http://eoddata.com//stockquote/TSX/ENB.PR.F.htm
ENB.PR.H,Enbridge Inc Pref Ser H,18.28,18.1,18.21,10018,http://eoddata.com//stockquote/TSX/ENB.PR.H.htm
ENB.PR.J,Enbridge Inc Pref Ser 7,19.4,19.26,19.26,4717,http://eoddata.com//stockquote/TSX/ENB.PR.J.htm
ENB.PR.N,Enbridge Inc Pref Ser N,21.35,20.98,20.98,12275,http://eoddata.com//stockquote/TSX/ENB.PR.N.htm
ENB.PR.P,Enbridge Inc Pref Ser P,19.3,19.15,19.18,7887,http://eoddata.com//stockquote/TSX/ENB.PR.P.htm
ENB.PR.T,Enbridge Inc Pref Ser R,19.1,18.84,18.89,21910,http://eoddata.com//stockquote/TSX/ENB.PR.T.htm
ENB.PR.U,Enbridge Inc Pref Sh Series J,21.7,21.65,21.65,2100,http://eoddata.com//stockquote/TSX/ENB.PR.U.htm
ENB.PR.V,Enbridge Inc Pref Ser 1,23.1,22.52,22.95,27000,http://eoddata.com//stockquote/TSX/ENB.PR.V.htm
ENB.PR.Y,Enbridge Inc Cum Red Pref Ser 3,18.39,18.32,18.39,5975,http://eoddata.com//stockquote/TSX/ENB.PR.Y.htm
ENGH,Enghouse Systems Ltd,41.4,40.36,40.37,87782,http://eoddata.com//stockquote/TSX/ENGH.htm
ENI.UN,Energy Income Fund,1.45,1.33,1.41,2495,http://eoddata.com//stockquote/TSX/ENI.UN.htm
ENS,E Split Corp,14.96,14.84,14.93,30260,http://eoddata.com//stockquote/TSX/ENS.htm
ENS.PR.A,E Split Corp Pref Shares,10.24,10.2,10.24,8744,http://eoddata.com//stockquote/TSX/ENS.PR.A.htm
